"abs_error_sp_15min","abs_error_sp_30min","abs_error_sp_45min","abs_error_sp_60min","abs_error_sp_75min","abs_error_sp_90min","abs_error_sp_105min","abs_error_sp_120min","rel_error_sp_15min","rel_error_sp_30min","rel_error_sp_45min","rel_error_sp_60min","rel_error_sp_75min","rel_error_sp_90min","rel_error_sp_105min","rel_error_sp_120min"
-2,-2,-2,-2,-2,-2,-2,-2,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567
-2,-2,-2,-2,-2,-2,-2,-2,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-1,-1,-1,-1,-1,-1,-1,-1,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152
-1,-1,-1,-1,-1,-1,-1,-1,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152
-1,-1,-1,-1,-1,-1,-1,-1,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152
-1,-1,-1,-1,-1,-1,-1,-1,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152
-1,-1,-1,-1,-1,-1,-1,-1,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152,-1.51515151515152
-2,-2,-2,-2,-2,-2,-2,-2,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567
-2,-2,-2,-2,-2,-2,-2,-2,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567
-2,-2,-2,-2,-2,-2,-2,-2,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567
-2,-2,-2,-2,-2,-2,-2,-2,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567
-2,-2,-2,-2,-2,-2,-2,-2,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-2,-2,-2,-2,-2,-2,-2,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567
-2,-2,-2,-2,-2,-2,-2,-2,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567
-2,-2,-2,-2,-2,-2,-2,-2,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567
-2,-2,-2,-2,-2,-2,-2,-2,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567
-2,-2,-2,-2,-2,-2,-2,-2,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567
-2,-2,-2,-2,-2,-2,-2,-2,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567
-2,-2,-2,-2,-2,-2,-2,-2,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567
-2,-2,-2,-2,-2,-2,-2,-2,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567
-2,-2,-2,-2,-2,-2,-2,-2,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567
-2,-2,-2,-2,-2,-2,-2,-2,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-5,-5,-5,-5,-5,-5,-5,-5,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714
-5,-5,-5,-5,-5,-5,-5,-5,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714
-5,-5,-5,-5,-5,-5,-5,-5,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714
-5,-5,-5,-5,-5,-5,-5,-5,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714
-5,-5,-5,-5,-5,-5,-5,-5,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-2,-2,-2,-2,-2,-2,-2,-2,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567
-2,-2,-2,-2,-2,-2,-2,-2,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567
-2,-2,-2,-2,-2,-2,-2,-2,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567
-2,-2,-2,-2,-2,-2,-2,-2,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567
-2,-2,-2,-2,-2,-2,-2,-2,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567,-2.98507462686567
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-3,-3,-3,-3,-3,-3,-3,-3,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235,-4.41176470588235
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-4,-4,-4,-4,-4,-4,-4,-4,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536,-5.79710144927536
-5,-5,-5,-5,-5,-5,-5,-5,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714
-5,-5,-5,-5,-5,-5,-5,-5,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714
-5,-5,-5,-5,-5,-5,-5,-5,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714
-5,-5,-5,-5,-5,-5,-5,-5,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714
-5,-5,-5,-5,-5,-5,-5,-5,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714
-5,-5,-5,-5,-5,-5,-5,-5,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714
-5,-5,-5,-5,-5,-5,-5,-5,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714
-5,-5,-5,-5,-5,-5,-5,-5,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714
-5,-5,-5,-5,-5,-5,-5,-5,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714
-5,-5,-5,-5,-5,-5,-5,-5,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714,-7.14285714285714
-7,-7,-7,-7,-7,-7,-7,-7,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222
-7,-7,-7,-7,-7,-7,-7,-7,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222
-7,-7,-7,-7,-7,-7,-7,-7,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222
-7,-7,-7,-7,-7,-7,-7,-7,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222
-7,-7,-7,-7,-7,-7,-7,-7,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222
-7,-7,-7,-7,-7,-7,-7,-7,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222
-7,-7,-7,-7,-7,-7,-7,-7,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222
-7,-7,-7,-7,-7,-7,-7,-7,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222
-7,-7,-7,-7,-7,-7,-7,-7,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222,-9.72222222222222
